State,Year,Quarter,District,Count,Amount
uttarakhand,2022,4,udham singh nagar district,1364,1880392.0
uttarakhand,2022,4,haridwar district,1487,2219064.0
uttarakhand,2022,4,champawat district,120,231116.0
uttarakhand,2022,4,nainital district,1098,1596483.0
uttarakhand,2022,4,dehradun district,2944,4789862.0
uttarakhand,2022,4,chamoli district,145,313403.0
uttarakhand,2022,4,almora district,255,527702.0
uttarakhand,2022,4,uttarkashi district,106,169544.0
uttarakhand,2022,4,pithoragarh district,241,419628.0
uttarakhand,2022,4,rudraprayag district,105,161845.0
uttarakhand,2022,4,pauri garhwal district,523,863303.0
uttarakhand,2022,4,tehri garhwal district,256,441778.0
uttarakhand,2022,3,bageshwar district,77,137073.0
uttarakhand,2022,3,udham singh nagar district,1106,1480288.0
uttarakhand,2022,3,haridwar district,1141,1636841.0
uttarakhand,2022,3,champawat district,104,184780.0
uttarakhand,2022,3,nainital district,805,1153568.0
uttarakhand,2022,3,dehradun district,2235,3326547.0
uttarakhand,2022,3,chamoli district,132,236958.0
uttarakhand,2022,3,almora district,212,392745.0
uttarakhand,2022,3,uttarkashi district,84,166968.0
uttarakhand,2022,3,pithoragarh district,218,294097.0
uttarakhand,2022,3,rudraprayag district,62,108564.0
uttarakhand,2022,3,pauri garhwal district,398,581563.0
uttarakhand,2022,3,tehri garhwal district,210,370180.0
uttarakhand,2023,1,bageshwar district,60,122240.0
uttarakhand,2023,1,udham singh nagar district,1211,2199841.0
uttarakhand,2023,1,haridwar district,1333,2613631.0
uttarakhand,2023,1,champawat district,101,204855.0
uttarakhand,2023,1,nainital district,803,1294101.0
uttarakhand,2023,1,dehradun district,2611,4615566.0
uttarakhand,2023,1,chamoli district,131,240907.0
uttarakhand,2023,1,almora district,199,421827.0
uttarakhand,2023,1,uttarkashi district,96,188913.0
uttarakhand,2023,1,pithoragarh district,236,412777.0
uttarakhand,2023,1,rudraprayag district,92,213000.0
uttarakhand,2023,1,pauri garhwal district,450,712712.0
uttarakhand,2023,1,tehri garhwal district,229,358656.0
uttarakhand,2023,2,bageshwar district,63,89071.0
uttarakhand,2023,2,udham singh nagar district,1346,2119816.0
uttarakhand,2023,2,haridwar district,1301,2352512.0
uttarakhand,2023,2,champawat district,98,177470.0
uttarakhand,2023,2,nainital district,860,1499565.0
uttarakhand,2023,2,dehradun district,2830,4928013.0
uttarakhand,2023,2,chamoli district,160,353627.0
uttarakhand,2023,2,almora district,226,468657.0
uttarakhand,2023,2,uttarkashi district,122,219180.0
uttarakhand,2023,2,pithoragarh district,256,402449.0
uttarakhand,2023,2,rudraprayag district,86,177992.0
uttarakhand,2023,2,pauri garhwal district,449,834933.0
uttarakhand,2023,2,tehri garhwal district,254,411630.0
uttarakhand,2023,4,bageshwar district,91,173452.0
uttarakhand,2023,4,udham singh nagar district,1667,3091689.0
uttarakhand,2023,4,haridwar district,1693,3183018.0
uttarakhand,2023,4,champawat district,154,266866.0
uttarakhand,2023,4,nainital district,1086,1911707.0
uttarakhand,2023,4,dehradun district,3417,6454643.0
uttarakhand,2023,4,chamoli district,232,619715.0
uttarakhand,2023,4,almora district,278,589368.0
uttarakhand,2023,4,uttarkashi district,142,275763.0
uttarakhand,2023,4,pithoragarh district,274,554770.0
uttarakhand,2023,4,rudraprayag district,94,185961.0
uttarakhand,2023,4,pauri garhwal district,592,1037849.0
uttarakhand,2023,4,tehri garhwal district,320,700351.0
uttarakhand,2023,3,bageshwar district,87,127031.0
uttarakhand,2023,3,udham singh nagar district,1368,2002699.0
uttarakhand,2023,3,haridwar district,1237,2120521.0
uttarakhand,2023,3,champawat district,111,175544.0
uttarakhand,2023,3,nainital district,850,1344731.0
uttarakhand,2023,3,dehradun district,2753,4269377.0
uttarakhand,2023,3,chamoli district,120,262413.0
uttarakhand,2023,3,almora district,238,427365.0
uttarakhand,2023,3,uttarkashi district,96,169217.0
uttarakhand,2023,3,pithoragarh district,259,463687.0
uttarakhand,2023,3,rudraprayag district,84,171376.0
uttarakhand,2023,3,pauri garhwal district,466,723598.0
uttarakhand,2023,3,tehri garhwal district,187,379190.0
kerala,2020,2,thiruvananthapuram district,199,44084.0
kerala,2020,2,kasaragod district,34,8193.0
kerala,2020,2,malappuram district,57,13689.0
kerala,2020,2,pathanamthitta district,61,13599.0
kerala,2020,2,wayanad district,21,5004.0
kerala,2020,2,alappuzha district,69,15083.0
kerala,2020,2,kozhikode district,113,25774.0
kerala,2020,2,kollam district,96,20737.0
kerala,2020,2,thrissur district,174,37861.0
kerala,2020,2,palakkad district,113,27306.0
kerala,2020,2,kannur district,122,28904.0
kerala,2020,2,kottayam district,78,18217.0
kerala,2020,2,ernakulam district,418,93852.0
kerala,2020,2,idukki district,33,7913.0
kerala,2020,4,thiruvananthapuram district,617,566230.0
kerala,2020,4,kasaragod district,155,131806.0
kerala,2020,4,malappuram district,404,316839.0
kerala,2020,4,pathanamthitta district,161,140722.0
kerala,2020,4,wayanad district,114,91850.0
kerala,2020,4,alappuzha district,281,244366.0
kerala,2020,4,kozhikode district,570,452862.0
kerala,2020,4,kollam district,355,319760.0
kerala,2020,4,thrissur district,526,425296.0
kerala,2020,4,palakkad district,311,240234.0
kerala,2020,4,kannur district,371,335755.0
kerala,2020,4,kottayam district,197,173317.0
kerala,2020,4,ernakulam district,1310,892676.0
kerala,2020,4,idukki district,107,113812.0
kerala,2020,3,thiruvananthapuram district,1067,343813.0
kerala,2020,3,kasaragod district,192,61180.0
kerala,2020,3,malappuram district,492,150394.0
kerala,2020,3,pathanamthitta district,242,83741.0
kerala,2020,3,wayanad district,146,47657.0
kerala,2020,3,alappuzha district,453,148816.0
kerala,2020,3,kozhikode district,767,230900.0
kerala,2020,3,kollam district,523,163023.0
kerala,2020,3,thrissur district,952,328037.0
kerala,2020,3,palakkad district,419,132488.0
kerala,2020,3,kannur district,571,202732.0
kerala,2020,3,kottayam district,393,148283.0
kerala,2020,3,ernakulam district,2380,725788.0
kerala,2020,3,idukki district,214,63509.0
kerala,2021,1,thiruvananthapuram district,587,507950.0
kerala,2021,1,kasaragod district,193,186159.0
kerala,2021,1,malappuram district,446,350548.0
kerala,2021,1,pathanamthitta district,132,173982.0
